# Frequency in Hz, Level in dB
5.000000000000000000e+01,-7.762980190307017381e+01
5.285000000000000142e+01,-7.309946776818996739e+01
5.586999999999999744e+01,-6.935548223973526660e+01
5.904999999999999716e+01,-6.619993017256804535e+01
6.242000000000000171e+01,-6.465994006388648074e+01
6.598000000000000398e+01,-6.460395759079743527e+01
6.975000000000000000e+01,-6.947884570820049532e+01
7.373000000000000398e+01,-6.356040733775758866e+01
7.793000000000000682e+01,-6.774259594848624033e+01
8.237999999999999545e+01,-6.668111965753588777e+01
8.707999999999999829e+01,-6.722118784761289589e+01
9.204000000000000625e+01,-6.708580066851644119e+01
9.729000000000000625e+01,-6.796620289563350070e+01
1.028400000000000034e+02,-6.742280510543128003e+01
1.087099999999999937e+02,-6.500266675611099743e+01
1.149099999999999966e+02,-6.349458791361325893e+01
1.214699999999999989e+02,-6.282430156557302325e+01
1.284000000000000057e+02,-6.314952298074435788e+01
1.357199999999999989e+02,-6.362337191517315205e+01
1.434600000000000080e+02,-6.412794667008667204e+01
1.516500000000000057e+02,-6.375870713878975238e+01
1.603000000000000114e+02,-6.228764909355434298e+01
1.694399999999999977e+02,-6.169690015008262662e+01
1.791100000000000136e+02,-6.163481698470811665e+01
1.893199999999999932e+02,-6.215976102335456233e+01
2.001200000000000045e+02,-6.230383218605810214e+01
2.115399999999999920e+02,-6.223320075709509069e+01
2.236100000000000136e+02,-6.200892908453872110e+01
2.363600000000000136e+02,-6.193151085716492332e+01
2.498499999999999943e+02,-6.181838025766263911e+01
2.641000000000000227e+02,-6.184772481400163713e+01
2.791600000000000250e+02,-6.175171075693678802e+01
2.950899999999999750e+02,-6.132927984135211830e+01
3.119200000000000159e+02,-6.126334290556042816e+01
3.297099999999999795e+02,-6.131508283012136928e+01
3.485199999999999818e+02,-6.118427173298348265e+01
3.683999999999999773e+02,-6.056283818634334182e+01
3.894200000000000159e+02,-6.026285249878259265e+01
4.116299999999999955e+02,-6.034821050638718276e+01
4.351100000000000136e+02,-6.024828533643764672e+01
4.599300000000000068e+02,-6.020164024562308214e+01
4.861700000000000159e+02,-6.019949783605049731e+01
5.138999999999999773e+02,-6.015811768497440681e+01
5.432200000000000273e+02,-6.054127052322240132e+01
5.742100000000000364e+02,-5.988840769681252851e+01
6.069600000000000364e+02,-5.962062788273983927e+01
6.415900000000000318e+02,-5.909779673295395952e+01
6.781799999999999500e+02,-5.996283788017007055e+01
7.168700000000000045e+02,-6.069936220466146892e+01
7.577599999999999909e+02,-5.968317357968488324e+01
8.009900000000000091e+02,-6.002203479245036988e+01
8.466799999999999500e+02,-6.056650805192774101e+01
8.949800000000000182e+02,-5.995285569811853321e+01
9.460299999999999727e+02,-5.983229112548672646e+01
1.000000000000000000e+03,-5.866855252342617177e+01
1.057039999999999964e+03,-5.896834840915946785e+01
1.117339999999999918e+03,-5.931625153310975662e+01
1.181079999999999927e+03,-5.914079160687604997e+01
1.248450000000000045e+03,-5.943492756181434089e+01
1.319670000000000073e+03,-5.924408601777518157e+01
1.394950000000000045e+03,-5.905747403467002243e+01
1.474519999999999982e+03,-5.921052650902780101e+01
1.558640000000000100e+03,-5.908412988848036207e+01
1.647549999999999955e+03,-5.981194541134109244e+01
1.741529999999999973e+03,-5.957528795269531230e+01
1.840880000000000109e+03,-5.917729992278589179e+01
1.945890000000000100e+03,-5.949970387966296670e+01
2.056889999999999873e+03,-5.988514172809954061e+01
2.174219999999999800e+03,-6.028814433626939007e+01
2.298250000000000000e+03,-6.105171367153317163e+01
2.429349999999999909e+03,-6.105758094200182029e+01
2.567929999999999836e+03,-6.068391181934870104e+01
2.714420000000000073e+03,-6.005260829280354073e+01
2.869260000000000218e+03,-6.043980232386145701e+01
3.032929999999999836e+03,-6.013872785164291201e+01
3.205949999999999818e+03,-5.995172988760047161e+01
3.388829999999999927e+03,-6.015282322105308310e+01
3.582139999999999873e+03,-5.906454709355023169e+01
3.786480000000000018e+03,-5.869377892117295659e+01
4.002480000000000018e+03,-5.874137211965741301e+01
4.230789999999999964e+03,-5.886333531887505188e+01
4.472140000000000327e+03,-5.903592033489000812e+01
4.727250000000000000e+03,-5.886129765668629688e+01
4.996909999999999854e+03,-5.995301740131615986e+01
5.281949999999999818e+03,-5.999081016044671344e+01
5.583260000000000218e+03,-5.982630615813622654e+01
5.901750000000000000e+03,-5.975972944835096712e+01
6.238409999999999854e+03,-5.998558747992216666e+01
6.594270000000000437e+03,-5.951431448452518680e+01
6.970439999999999600e+03,-5.995296508491689735e+01
7.368060000000000400e+03,-6.059182284820114006e+01
7.788369999999999891e+03,-6.016030836578563878e+01
8.232649999999999636e+03,-6.020232775256371127e+01
8.702270000000000437e+03,-5.968638613625868317e+01
9.198690000000000509e+03,-5.940405794172472298e+01
9.723420000000000073e+03,-6.025046341473301226e+01
1.027809000000000015e+04,-6.040360875523999340e+01
1.086438999999999942e+04,-6.071232213209280104e+01
1.148413999999999942e+04,-6.207240576101907692e+01
1.213923999999999978e+04,-6.268959346955624312e+01
1.283171999999999935e+04,-6.195773421442576279e+01
1.356369000000000051e+04,-6.319954598727768058e+01
1.433742000000000007e+04,-6.447279772590073321e+01
1.515529000000000087e+04,-6.381571538985466674e+01
1.601980999999999949e+04,-6.383146698703438204e+01
1.693365000000000146e+04,-6.446585334651376797e+01
1.789961999999999898e+04,-6.495648710617632560e+01
1.892068000000000029e+04,-6.661341462157616888e+01
2.000000000000000000e+04,-6.869214099320845435e+01
