# Frequency in Hz, Level in dB
5.000000000000000000e+01,-1.041202534324068836e+02
5.285000000000000142e+01,-1.020020309711562021e+02
5.586999999999999744e+01,-9.669613853723524244e+01
5.904999999999999716e+01,-9.497038554825999768e+01
6.242000000000000171e+01,-9.509772483473653892e+01
6.598000000000000398e+01,-9.401650448376140901e+01
6.975000000000000000e+01,-9.353902620626664088e+01
7.373000000000000398e+01,-9.275131929629526439e+01
7.793000000000000682e+01,-9.461787853542581672e+01
8.237999999999999545e+01,-9.388537871993311512e+01
8.707999999999999829e+01,-9.356164647472726870e+01
9.204000000000000625e+01,-9.595977559676501301e+01
9.729000000000000625e+01,-9.608980404767436312e+01
1.028400000000000034e+02,-9.309841862318803862e+01
1.087099999999999937e+02,-9.004240150558175060e+01
1.149099999999999966e+02,-8.936370050516711672e+01
1.214699999999999989e+02,-8.839531374967931754e+01
1.284000000000000057e+02,-8.954283708000680519e+01
1.357199999999999989e+02,-8.836468637302255047e+01
1.434600000000000080e+02,-8.992474194016784850e+01
1.516500000000000057e+02,-8.926639245181600302e+01
1.603000000000000114e+02,-8.990704929769515275e+01
1.694399999999999977e+02,-8.428538479431769304e+01
1.791100000000000136e+02,-8.927509924503333139e+01
1.893199999999999932e+02,-8.723689734655819450e+01
2.001200000000000045e+02,-9.295741724243475801e+01
2.115399999999999920e+02,-9.194098688131619213e+01
2.236100000000000136e+02,-9.107427531636122353e+01
2.363600000000000136e+02,-9.324459912173423959e+01
2.498499999999999943e+02,-9.363680771607111808e+01
2.641000000000000227e+02,-9.282234600193648077e+01
2.791600000000000250e+02,-9.474990848698077173e+01
2.950899999999999750e+02,-9.474935837755872114e+01
3.119200000000000159e+02,-9.504322616336037299e+01
3.297099999999999795e+02,-9.485611830465369110e+01
3.485199999999999818e+02,-9.403853696440232568e+01
3.683999999999999773e+02,-9.528861153519024185e+01
3.894200000000000159e+02,-9.459586948224341540e+01
4.116299999999999955e+02,-9.657105097332893706e+01
4.351100000000000136e+02,-9.927642753787689855e+01
4.599300000000000068e+02,-9.898873321754092558e+01
4.861700000000000159e+02,-9.989423961782696892e+01
5.138999999999999773e+02,-1.013633179282000185e+02
5.432200000000000273e+02,-1.034797282936782068e+02
5.742100000000000364e+02,-9.946833407127763849e+01
6.069600000000000364e+02,-9.753729123848238203e+01
6.415900000000000318e+02,-1.004460846875592352e+02
6.781799999999999500e+02,-1.071797714923757781e+02
7.168700000000000045e+02,-1.009892586382628394e+02
7.577599999999999909e+02,-1.030187110867132105e+02
8.009900000000000091e+02,-1.047765978630382619e+02
8.466799999999999500e+02,-1.077029196190162423e+02
8.949800000000000182e+02,-1.089712117428973670e+02
9.460299999999999727e+02,-1.074450325525543093e+02
1.000000000000000000e+03,-1.090731748471653901e+02
1.057039999999999964e+03,-1.043185991223603963e+02
1.117339999999999918e+03,-1.017998375378727616e+02
1.181079999999999927e+03,-9.864546981300971140e+01
1.248450000000000045e+03,-1.004985597874067906e+02
1.319670000000000073e+03,-9.652457102288484236e+01
1.394950000000000045e+03,-9.446904272915831768e+01
1.474519999999999982e+03,-9.576539287505455889e+01
1.558640000000000100e+03,-9.192418142515184343e+01
1.647549999999999955e+03,-9.838016847834254008e+01
1.741529999999999973e+03,-9.300449853022414004e+01
1.840880000000000109e+03,-9.529880643014544717e+01
1.945890000000000100e+03,-9.432992161589365310e+01
2.056889999999999873e+03,-9.355604224113186262e+01
2.174219999999999800e+03,-9.389107252632955181e+01
2.298250000000000000e+03,-9.625833946677221320e+01
2.429349999999999909e+03,-9.474866996297926391e+01
2.567929999999999836e+03,-9.341305622275800147e+01
2.714420000000000073e+03,-9.177077344891897326e+01
2.869260000000000218e+03,-9.295688966910290674e+01
3.032929999999999836e+03,-9.222530585542718029e+01
3.205949999999999818e+03,-9.157503977521922423e+01
3.388829999999999927e+03,-9.105904768081356337e+01
3.582139999999999873e+03,-9.044782284022858221e+01
3.786480000000000018e+03,-8.708804470116274388e+01
4.002480000000000018e+03,-8.711579279420904243e+01
4.230789999999999964e+03,-8.685930581233265002e+01
4.472140000000000327e+03,-8.548704655296840826e+01
4.727250000000000000e+03,-8.415336988135091190e+01
4.996909999999999854e+03,-8.386496832840342108e+01
5.281949999999999818e+03,-8.427173859045174709e+01
5.583260000000000218e+03,-8.270807358808126253e+01
5.901750000000000000e+03,-8.441408305236680576e+01
6.238409999999999854e+03,-8.507917052197535668e+01
6.594270000000000437e+03,-8.600760987481592679e+01
6.970439999999999600e+03,-9.062692269344502449e+01
7.368060000000000400e+03,-9.360866594293260334e+01
7.788369999999999891e+03,-8.388504103288993008e+01
8.232649999999999636e+03,-8.196571866363129288e+01
8.702270000000000437e+03,-8.752095123784607722e+01
9.198690000000000509e+03,-8.505640755690869526e+01
9.723420000000000073e+03,-8.696099316098114684e+01
1.027809000000000015e+04,-8.764298707677926359e+01
1.086438999999999942e+04,-8.864118950240681727e+01
1.148413999999999942e+04,-9.130298535955408568e+01
1.213923999999999978e+04,-9.328864827884078181e+01
1.283171999999999935e+04,-9.896912307340137716e+01
1.356369000000000051e+04,-1.049077887343051430e+02
1.433742000000000007e+04,-1.128417606636389365e+02
1.515529000000000087e+04,-1.077525799246905933e+02
1.601980999999999949e+04,-1.066846003053123013e+02
1.693365000000000146e+04,-1.018567014922023759e+02
1.789961999999999898e+04,-1.001652396882637532e+02
1.892068000000000029e+04,-1.070999198546060995e+02
2.000000000000000000e+04,-1.196189916954040058e+02
